Artist	Playlist Genre	Year	Popularity
KAROL G	Pop	2019	98.0
The Weeknd	Pop	2019	96.75
The Black Eyed Peas	Pop	2019	96.0
Regard	Pop	2019	94.0
Travis Scott	Pop	2019	94.0
blackbear	Pop	2019	94.0
Anuel AA	Pop	2019	93.0
Juice WRLD	Pop	2019	92.0
Rauw Alejandro	Pop	2019	92.0
Billie Eilish	Pop	2019	91.6
Trevor Daniel	Pop	2018	97.0
Halsey	Pop	2018	88.0
Travis Scott	Pop	2018	87.0
Kina	Pop	2018	86.0
Doja Cat	Pop	2018	85.0
Meek Mill	Pop	2018	85.0
Drake	Pop	2018	84.5
Camila Cabello	Pop	2018	84.0
Cardi B	Pop	2018	84.0
Dynoro	Pop	2018	84.0
Ed Sheeran	Pop	2017	84.5
Lil Uzi Vert	Pop	2017	84.0
Lauv	Pop	2017	83.0
Frank Ocean	Pop	2017	82.0
Future	Pop	2017	81.0
Marshmello	Pop	2017	81.0
ZAYN	Pop	2017	81.0
Demi Lovato	Pop	2017	80.0
Hailee Steinfeld	Pop	2017	79.33333333333333
Daniel Caesar	Pop	2017	79.0
Travis Scott	Pop	2016	86.0
Post Malone	Pop	2016	84.0
James Arthur	Pop	2016	82.0
Hippie Sabotage	Pop	2016	81.0
Twenty One Pilots	Pop	2016	81.0
Bruno Mars	Pop	2016	80.66666666666667
DNCE	Pop	2016	80.0
Ariana Grande	Pop	2016	79.0
Calvin Harris	Pop	2016	78.14285714285714
The Chainsmokers	Pop	2016	77.18181818181819
Aaron Smith	Pop	2014	84.0
Ed Sheeran	Pop	2014	84.0
J. Cole	Pop	2014	82.0
A Great Big World	Pop	2014	78.0
Vance Joy	Pop	2014	78.0
George Ezra	Pop	2014	76.0
Mr. Probz	Pop	2014	76.0
Rixton	Pop	2014	76.0
Pitbull	Pop	2014	73.0
Sia	Pop	2014	72.6
P!nk	Pop	2012	80.0
The Script	Pop	2012	78.0
Bruno Mars	Pop	2012	77.0
MKTO	Pop	2012	77.0
Pitbull	Pop	2012	76.0
Alicia Keys	Pop	2012	75.0
Tame Impala	Pop	2012	75.0
One Direction	Pop	2012	74.25
fun.	Pop	2012	73.33333333333333
Flo Rida	Pop	2012	72.33333333333333
Mark Ronson	Pop	2015	82.0
Justin Bieber	Pop	2015	80.25
Wiz Khalifa	Pop	2015	80.0
Twenty One Pilots	Pop	2015	79.5
Calvin Harris	Pop	2015	77.0
G-Eazy	Pop	2015	77.0
Petit Biscuit	Pop	2015	77.0
Shawn Mendes	Pop	2015	77.0
Little Mix	Pop	2015	76.5
Jason Derulo	Pop	2015	76.0
John Legend	Pop	2013	85.0
The Neighbourhood	Pop	2013	81.0
One Direction	Pop	2013	77.33333333333333
Justin Timberlake	Pop	2013	77.0
Miley Cyrus	Pop	2013	76.66666666666667
James Arthur	Pop	2013	76.0
Idina Menzel	Pop	2013	75.0
Daft Punk	Pop	2013	73.85714285714286
John Newman	Pop	2013	72.0
Belinda Carlisle	Pop	2013	70.0
Justin Bieber	Pop	2011	84.0
Foster The People	Pop	2011	83.0
Christina Perri	Pop	2011	79.0
Pitbull	Pop	2011	79.0
Grouplove	Pop	2011	78.0
Coldplay	Pop	2011	77.0
Gotye	Pop	2011	77.0
Adele	Pop	2011	76.8
Beyoncé	Pop	2011	75.0
Selena Gomez & The Scene	Pop	2011	74.5
Train	Pop	2010	82.0
Usher	Pop	2010	78.0
Justin Bieber	Pop	2010	76.0
P!nk	Pop	2010	76.0
Don Omar	Pop	2010	75.0
Gorillaz	Pop	2010	75.0
Taio Cruz	Pop	2010	74.0
Maroon 5	Pop	2010	73.0
Drake	Pop	2010	72.0
Flo Rida	Pop	2010	72.0
Flo Rida	Pop	2008	79.0
Coldplay	Pop	2008	78.0
The Offspring	Pop	2008	77.0
Jason Mraz	Pop	2008	76.5
Kings of Leon	Pop	2008	75.0
Spandau Ballet	Pop	2008	72.0
