Name	Playlist Genre	Year	Popularity
Blinding Lights	Pop	2019	98.0
Memories	Pop	2019	98.0
Tusa	Pop	2019	98.0
Don't Start Now	Pop	2019	97.0
everything i wanted	Pop	2019	97.0
RITMO (Bad Boys For Life)	Pop	2019	96.0
bad guy	Pop	2019	95.0
HIGHEST IN THE ROOM	Pop	2019	94.0
My Oh My (feat. DaBaby)	Pop	2019	94.0
Ride It	Pop	2019	94.0
Falling	Pop	2018	97.0
Happier	Pop	2018	89.0
Without Me	Pop	2018	88.0
Better Now	Pop	2018	87.0
SICKO MODE	Pop	2018	87.0
Sweet but Psycho	Pop	2018	87.0
Get You The Moon (feat. Snøw)	Pop	2018	86.0
God's Plan	Pop	2018	86.0
High Hopes	Pop	2018	86.0
Candy	Pop	2018	85.0
XO Tour Llif3	Pop	2017	84.0
I Like Me Better	Pop	2017	83.0
Young Dumb & Broke	Pop	2017	83.0
Chanel	Pop	2017	82.0
Wolves	Pop	2017	82.0
Best Friend	Pop	2017	81.0
Dusk Till Dawn - Radio Edit	Pop	2017	81.0
Let Me Go (with Alesso, Florida Georgia Line & watt)	Pop	2017	81.0
Mask Off	Pop	2017	81.0
Scared to Be Lonely	Pop	2017	81.0
goosebumps	Pop	2016	86.0
Closer (feat. Halsey)	Pop	2016	85.0
Congratulations	Pop	2016	84.0
Say You Won't Let Go	Pop	2016	82.0
That's What I Like	Pop	2016	82.0
Devil Eyes	Pop	2016	81.0
Don't Let Me Down	Pop	2016	81.0
Heathens	Pop	2016	81.0
Cake By The Ocean	Pop	2016	80.0
In the Name of Love	Pop	2016	80.0
Dancin (feat. Luvli) - Krono Remix	Pop	2014	84.0
Photograph	Pop	2014	84.0
No Role Modelz	Pop	2014	82.0
Take Me To Church	Pop	2014	80.0
Summer	Pop	2014	79.0
A Sky Full of Stars	Pop	2014	78.0
Blank Space	Pop	2014	78.0
Riptide	Pop	2014	78.0
Rude	Pop	2014	78.0
Say Something	Pop	2014	78.0
Can't Hold Us - feat. Ray Dalton	Pop	2012	83.0
Just Give Me a Reason (feat. Nate Ruess)	Pop	2012	80.0
Titanium (feat. Sia)	Pop	2012	79.0
Hall of Fame	Pop	2012	78.0
Locked Out of Heaven	Pop	2012	78.0
Payphone	Pop	2012	78.0
What Makes You Beautiful	Pop	2012	78.0
Classic	Pop	2012	77.0
They Don't Know About Us	Pop	2012	77.0
I Knew You Were Trouble.	Pop	2012	76.0
Stressed Out	Pop	2015	83.0
Uptown Funk	Pop	2015	82.0
Ride	Pop	2015	81.0
Sorry	Pop	2015	81.0
See You Again (feat. Charlie Puth)	Pop	2015	80.0
Sugar	Pop	2015	80.0
Centuries	Pop	2015	79.0
Like I'm Gonna Lose You (feat. John Legend)	Pop	2015	78.0
What Do You Mean?	Pop	2015	78.0
How Deep Is Your Love	Pop	2015	77.0
All of Me	Pop	2013	85.0
Wake Me Up	Pop	2013	84.0
Sweater Weather	Pop	2013	81.0
Story of My Life	Pop	2013	80.0
Royals	Pop	2013	78.0
Hey Brother	Pop	2013	77.0
Mirrors	Pop	2013	77.0
Roar	Pop	2013	77.0
We Can't Stop	Pop	2013	77.0
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit	Pop	2013	76.0
Mistletoe	Pop	2011	84.0
Pumped Up Kicks	Pop	2011	83.0
A Thousand Years	Pop	2011	79.0
Give Me Everything	Pop	2011	79.0
Someone Like You	Pop	2011	79.0
Tongue Tied	Pop	2011	78.0
Paradise	Pop	2011	77.0
Somebody That I Used To Know	Pop	2011	77.0
Rolling in the Deep	Pop	2011	76.0
Love You Like A Love Song	Pop	2011	75.0
Hey, Soul Sister	Pop	2010	82.0
Just the Way You Are	Pop	2010	80.0
